route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
30-349,241028-MULTI-Weekday-01,24171143-241028-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1114449,300083,1,1
30-349,241028-MULTI-Weekday-01,24171144-241028-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1114451,300083,1,1
51-349,241028-MULTI-Weekday-01,24171145-241028-MULTI-Weekday-01,"51 HEREFORD EAST",0,1114128,510036,1,1
9-349,241028-MULTI-Weekday-01,24171146-241028-MULTI-Weekday-01,"9 VODDEN EAST",0,1114463,90032,1,1
60-349,241028-MULTI-Weekday-01,24171147-241028-MULTI-Weekday-01,"60 MISSISSAUGA ROAD SOUTH",1,1114694,600009,1,1
30-349,241028-MULTI-Weekday-01,24171148-241028-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1114452,300082,1,1
30-349,241028-MULTI-Weekday-01,24171149-241028-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1114454,300082,1,1
51-349,241028-MULTI-Weekday-01,24171150-241028-MULTI-Weekday-01,"51 HEREFORD WEST",1,1114128,510037,1,1
23-349,241028-MULTI-Weekday-01,24171151-241028-MULTI-Weekday-01,"23 SANDALWOOD EAST",0,1114613,230129,1,1
23-349,241028-MULTI-Weekday-01,24171152-241028-MULTI-Weekday-01,"23 SANDALWOOD WEST",1,1114619,230127,1,1
60-349,241028-MULTI-Weekday-01,24171153-241028-MULTI-Weekday-01,"60 MISSISSAUGA ROAD NORTH",0,1114694,600006,1,1
18-349,241028-MULTI-Weekday-01,24171154-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114491,180212,1,1
18-349,241028-MULTI-Weekday-01,24171155-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114499,180212,1,1
18-349,241028-MULTI-Weekday-01,24171156-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114501,180212,1,1
18-349,241028-MULTI-Weekday-01,24171157-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114502,180212,1,1
18-349,241028-MULTI-Weekday-01,24171158-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114504,180212,1,1
18-349,241028-MULTI-Weekday-01,24171159-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114489,180209,1,1
18-349,241028-MULTI-Weekday-01,24171160-241028-MULTI-Weekday-01,"18 DIXIE NORTH",0,1114494,180209,1,1
18-349,241028-MULTI-Weekday-01,24171161-241028-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1114487,180223,1,1
18-349,241028-MULTI-Weekday-01,24171162-241028-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1114489,180203,1,1
18-349,241028-MULTI-Weekday-01,24171163-241028-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1114494,180203,1,1
