stop_id,stop_name,stop_lat,stop_lon,census_tract_id
00000020,Kennedy Rd S n/of First Gulf Blvd,43.673257,-79.718469,5350570.01
00000030,Kennedy Rd s/of Steeles Ave,43.675159,-79.72171,5350570.01
00000060,Rutherford Rd s/of Bramsteele Rd,43.681968,-79.718981,5350570.01
00000070,Rutherford Rd S n/of Bramsteele Rd,43.683807,-79.721458,5350570.01
00000080,Rutherford Rd S at Glidden Rd,43.686334,-79.725066,5350570.01
00000090,Rutherford Rd S at Selby Rd,43.689013,-79.72896,5350570.01
00000100,Rutherford Rd S opp Stafford Rd,43.690237,-79.730618,5350570.01
00000110,Rutherford Rd S at Clarence St,43.691459,-79.731882,5350570.01
00000120,Orenda Rd e/of Rutherford Rd S,43.695114,-79.73276,5350570.01
00000130,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,43.695702,-79.729801,5350570.01
00000140,Orenda Rd opp Heart Lake Rd,43.696757,-79.727831,5350570.01
00000150,Orenda Rd opp Tilbury Crt,43.697323,-79.725029,5350562.13
00000160,Orenda Rd at 237 Orenda Rd,43.697068,-79.72267,5350562.13
00000170,Orenda Rd at Titan Rd,43.69808,-79.720259,5350562.13
00000180,West Dr n/of Orenda Rd,43.699876,-79.718366,5350562.13
00000190,West Dr s/of Clark Blvd ( 55 West Dr ),43.702724,-79.723127,5350562.13
00000200,Clark Blvd e/of West Dr,43.704702,-79.726936,5350562.13
00000210,Clark Blvd at 185 Clark Blvd,43.706436,-79.725026,5350562.13
00000220,Clark Blvd at Terese Rd,43.70923,-79.724078,5350562.13
00000222,Queen St E btwn Torbram Rd & Gateway Blvd,43.73617,-79.704012,5350576.79
00000230,Clark Blvd at Braemar Dr,43.711451,-79.721512,5350563.02
00000235,Clark Blvd at Briar Path,43.713219,-79.720048,5350563.02
00000270,Clark Blvd at Lisa St,43.709748,-79.724024,5350562.12
00000280,Clark Blvd opp 185 Clark Blvd,43.705847,-79.726028,5350562.12
00000290,Clark Blvd at West Dr,43.704774,-79.727214,5350562.12
00000300,West Dr s/of Clark Blvd,43.703897,-79.726877,5350562.13
00000308,West Dr at 60 West Dr,43.703243,-79.724485,5350562.13
00000310,West Dr at Norpak Whse,43.701521,-79.721492,5350562.13
00000320,West Dr s/of Orenda Rd,43.699126,-79.717846,5350562.13
00000330,Glidden Rd w/of West Dr,43.69483,-79.713756,5350562.13
00000340,Glidden Rd at Blair Dr,43.693625,-79.715444,5350562.13
00000350,Glidden Rd at Heart Lake Rd,43.691648,-79.718268,5350562.13
00000360,Glidden Rd w/of Heart Lake Rd,43.689773,-79.720893,5350570.01
00000365,Hale Rd s/of Glidden Rd,43.687312,-79.722975,5350570.01
00000370,Glidden Rd at Hale Rd,43.688501,-79.722687,5350570.01
00000371,Hale Rd btwn Glidden Rd & Bramsteele Ave,43.686027,-79.721239,5350570.01
00000372,Hale Rd n/of Bramsteele Ave,43.684192,-79.718177,5350570.01
00000373,Bramsteele Ave e/of Rutherford Rd,43.683237,-79.718494,5350570.01
00000410,Rutherford Rd S at Steeles Ave E,43.680933,-79.717993,5350570.01
00000420,First Gulf Blvd n/of Biscayne Cres (N),43.679438,-79.715877,5350570.01
00000430,First Gulf Blvd at Biscayne Cres S,43.677124,-79.713402,5350570.01
00000440,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,43.674483,-79.715878,5350570.01
00000460,Hereford St s/of Steeles Ave,43.622217,-79.780921,5350528.53
00000461,Heritage - Zum Steeles Station Stop EB,43.617924,-79.785976,5350528.53
00000466,Heritage - Zum Steeles Station Stop WB,43.617184,-79.787371,5350576.91
00000469,Winston Churchill - Zum Steeles Station Stop EB,43.608098,-79.796937,5350528.53
00000470,Mississauga Road - Zum Steeles Station Stop EB,43.62782,-79.775184,5350528.53
00000510,Steeles Ave W at Churchville Rd,43.639747,-79.762015,5350528.52
00000520,Steeles Ave W at Clementine Dr,43.643685,-79.757659,5350528.52
00000530,Steeles Ave W btwn Mavis Rd & Windmill Blvd,43.649578,-79.751152,5350528.31
00000535,Steeles Ave btwn Clementine Dr and Mavis Rd,43.645282,-79.755836,5350528.52
00000540,Mavis - Zum Steeles Station Stop EB,43.647339,-79.753535,5350528.31
00000550,Steeles Ave W at Windmill Blvd,43.653268,-79.747021,5350528.31
00000560,Steeles Ave W at McLaughlin Rd S,43.656006,-79.74387,5350528.31
00000610,Steeles Ave E btwn Hurontario St & Hartford Tr,43.670455,-79.728063,5350528.2
00000620,Steeles Ave E at Hartford Trail,43.673,-79.725318,5350528.2
00000670,Steeles Ave E btwn Tomken Rd & Dixie Rd,43.692357,-79.70409,5350562.13
00000680,Steeles Ave w/of Dixie Rd,43.694267,-79.701943,5350562.13
00000700,Steeles Ave e/of Advance Blvd,43.698744,-79.696521,5350561.0
00000730,Steeles Ave E at Melanie Dr (W),43.710072,-79.68431,5350560.0
00000740,Steeles Ave E at Melanie Dr (E),43.712018,-79.682116,5350560.0
00000760,Steeles Ave opp Pearson Convention Centre,43.721796,-79.671021,5350576.79
00000780,Steeles Ave E opp Parkhurst Sq,43.726459,-79.665664,5350576.78
00000790,Steeles Ave E at 3389 Steeles Ave E,43.730908,-79.660502,5350576.78
00000800,Steeles Ave E at Goreway Dr,43.732727,-79.65842,5350576.78
00000810,Goreway Dr s/of Steeles Ave E,43.732258,-79.657241,5350576.78
00000830,Kenview Blvd e/of Goreway Dr,43.730828,-79.653569,5350576.78
